SurveyNo,Patta_Holder,Land_Area_Acres,Revenue_Village
S.No 200/1,Anitha,1.485,Avinashi_Road_Zone
S.No 200/2,Suresh,2.996,Avinashi_Road_Zone
S.No 200/3,Priya,0.533,Avinashi_Road_Zone
S.No 200/4,Ramasamy,0.209,Avinashi_Road_Zone
S.No 200/5,Anitha,1.938,Avinashi_Road_Zone
S.No 201/1,Anitha,1.045,Avinashi_Road_Zone
S.No 201/2,Anitha,0.863,Avinashi_Road_Zone
S.No 201/3,Lakshmi,0.365,Avinashi_Road_Zone
S.No 201/4,Lakshmi,0.434,Avinashi_Road_Zone
S.No 201/5,Ramasamy,0.47,Avinashi_Road_Zone
S.No 202/1,Vignesh,0.351,Avinashi_Road_Zone
S.No 202/2,Vignesh,0.372,Avinashi_Road_Zone
S.No 202/3,Karthik,1.057,Avinashi_Road_Zone
S.No 202/4,Karthik,0.498,Avinashi_Road_Zone
S.No 202/5,Lakshmi,0.993,Avinashi_Road_Zone
S.No 203/1,Ramasamy,0.169,Avinashi_Road_Zone
S.No 203/2,Murugan,0.465,Avinashi_Road_Zone
S.No 203/3,Lakshmi,0.37,Avinashi_Road_Zone
S.No 203/4,Priya,0.05,Avinashi_Road_Zone
S.No 203/5,Murugan,0.063,Avinashi_Road_Zone
S.No 204/1,Suresh,1.121,Avinashi_Road_Zone
S.No 204/2,Ramasamy,3.765,Avinashi_Road_Zone
S.No 204/3,Karthik,0.311,Avinashi_Road_Zone
S.No 204/4,Anitha,0.259,Avinashi_Road_Zone
S.No 204/5,Karthik,2.427,Avinashi_Road_Zone
S.No 205/1,Lakshmi,0.008,Avinashi_Road_Zone
S.No 205/2,Murugan,0.056,Avinashi_Road_Zone
S.No 205/3,Lakshmi,0.064,Avinashi_Road_Zone
S.No 205/4,Vignesh,0.018,Avinashi_Road_Zone
S.No 205/5,Vignesh,0.037,Avinashi_Road_Zone
S.No 206/1,Anitha,0.029,Avinashi_Road_Zone
S.No 206/2,Ramasamy,0.145,Avinashi_Road_Zone
