survey_no,patta_number,patta_holder,revenue_area_acres,land_type
S.No 300/1,PATTA-1515,Vignesh,1.485,Poramboke
S.No 300/2,PATTA-4354,Suresh,3.236,Nanjai
S.No 300/3,PATTA-4361,Murugan,0.458,Punjai
S.No 300/4,PATTA-1703,Suresh,0.209,Nanjai
S.No 300/5,PATTA-3451,Vignesh,1.811,Punjai
S.No 301/1,PATTA-2891,Karthik,1.045,Punjai
S.No 301/2,PATTA-6417,Vignesh,0.794,Grama Natham
S.No 301/3,PATTA-1501,Lakshmi,0.341,Punjai
S.No 301/4,PATTA-5548,Vignesh,0.434,Punjai
S.No 301/5,PATTA-6573,Murugan,0.47,Grama Natham
S.No 302/1,PATTA-4966,Ramasamy,0.351,Nanjai
S.No 302/2,PATTA-2283,Priya,0.375,Nanjai
S.No 302/3,PATTA-3732,Lakshmi,0.988,Punjai
S.No 302/4,PATTA-9431,Lakshmi,0.498,Poramboke
S.No 302/5,PATTA-9641,Suresh,0.928,Punjai
S.No 303/1,PATTA-8074,Priya,0.169,Grama Natham
S.No 303/2,PATTA-3249,Karthik,0.47,Poramboke
S.No 303/3,PATTA-3917,Murugan,0.346,Poramboke
S.No 303/4,PATTA-8851,Murugan,0.05,Poramboke
S.No 303/5,PATTA-7688,Anitha,0.054,Grama Natham
S.No 304/1,PATTA-4865,Priya,1.211,Poramboke
S.No 304/2,PATTA-1549,Murugan,3.8,Grama Natham
S.No 304/3,PATTA-8354,Karthik,0.311,Poramboke
S.No 304/4,PATTA-1666,Vignesh,0.279,Grama Natham
S.No 304/5,PATTA-1689,Murugan,2.268,Nanjai
S.No 305/1,PATTA-4976,Murugan,0.009,Poramboke
S.No 305/2,PATTA-8215,Anitha,0.057,Grama Natham
S.No 305/3,PATTA-7543,Suresh,0.068,Nanjai
S.No 305/4,PATTA-1005,Ramasamy,0.017,Nanjai
S.No 305/5,PATTA-2793,Karthik,0.034,Punjai
S.No 306/1,PATTA-4061,Karthik,0.027,Punjai
S.No 306/2,PATTA-4807,Suresh,0.145,Poramboke
S.No 306/3,PATTA-2671,Suresh,0.054,Nanjai
S.No 306/4,PATTA-1711,Murugan,0.018,Punjai
S.No 306/5,PATTA-2529,Karthik,0.033,Grama Natham
S.No 307/1,PATTA-8288,Suresh,0.062,Nanjai
S.No 307/2,PATTA-1790,Anitha,0.109,Punjai
S.No 307/3,PATTA-2374,Priya,0.043,Grama Natham
S.No 307/4,PATTA-6656,Ramasamy,0.075,Nanjai
S.No 307/5,PATTA-1989,Karthik,0.059,Grama Natham
S.No 308/1,PATTA-4303,Karthik,0.039,Nanjai
S.No 308/2,PATTA-2380,Anitha,0.044,Nanjai
S.No 308/3,PATTA-7384,Lakshmi,0.171,Poramboke
S.No 308/4,PATTA-5937,Suresh,0.052,Poramboke
S.No 308/5,PATTA-8737,Suresh,0.079,Nanjai
S.No 309/1,PATTA-6358,Priya,0.012,Punjai
S.No 309/2,PATTA-7119,Karthik,0.034,Grama Natham
S.No 309/3,PATTA-9882,Murugan,0.046,Punjai
S.No 309/4,PATTA-1792,Murugan,0.04,Grama Natham
